timestamp_start,timestamp_end,participant_id,sexo,idade,escolaridade,rendimento,classe,nacionalidade,nacionalidade_outra,distrito,ses_group,ses_house,ses_car,ses_phone,ses_vacation,stimuli_type,7001_index,7001_timestamp_start,7001_timestamp_end,7001_valence,7001_arousal,7002_index,7002_timestamp_start,7002_timestamp_end,7002_valence,7002_arousal,7004_index,7004_timestamp_start,7004_timestamp_end,7004_valence,7004_arousal,7006_index,7006_timestamp_start,7006_timestamp_end,7006_valence,7006_arousal,7009_index,7009_timestamp_start,7009_timestamp_end,7009_valence,7009_arousal,7010_index,7010_timestamp_start,7010_timestamp_end,7010_valence,7010_arousal,7012_index,7012_timestamp_start,7012_timestamp_end,7012_valence,7012_arousal,7017_index,7017_timestamp_start,7017_timestamp_end,7017_valence,7017_arousal,7020_index,7020_timestamp_start,7020_timestamp_end,7020_valence,7020_arousal,7021_index,7021_timestamp_start,7021_timestamp_end,7021_valence,7021_arousal,7025_index,7025_timestamp_start,7025_timestamp_end,7025_valence,7025_arousal,7026_index,7026_timestamp_start,7026_timestamp_end,7026_valence,7026_arousal,7030_index,7030_timestamp_start,7030_timestamp_end,7030_valence,7030_arousal,7034_index,7034_timestamp_start,7034_timestamp_end,7034_valence,7034_arousal,7035_index,7035_timestamp_start,7035_timestamp_end,7035_valence,7035_arousal,7040_index,7040_timestamp_start,7040_timestamp_end,7040_valence,7040_arousal,7041_index,7041_timestamp_start,7041_timestamp_end,7041_valence,7041_arousal,7042_index,7042_timestamp_start,7042_timestamp_end,7042_valence,7042_arousal,7045_index,7045_timestamp_start,7045_timestamp_end,7045_valence,7045_arousal,7052_index,7052_timestamp_start,7052_timestamp_end,7052_valence,7052_arousal,7059_index,7059_timestamp_start,7059_timestamp_end,7059_valence,7059_arousal,7061_index,7061_timestamp_start,7061_timestamp_end,7061_valence,7061_arousal,7062_index,7062_timestamp_start,7062_timestamp_end,7062_valence,7062_arousal,7080_index,7080_timestamp_start,7080_timestamp_end,7080_valence,7080_arousal,7090_index,7090_timestamp_start,7090_timestamp_end,7090_valence,7090_arousal,7100_index,7100_timestamp_start,7100_timestamp_end,7100_valence,7100_arousal,7150_index,7150_timestamp_start,7150_timestamp_end,7150_valence,7150_arousal,7170_index,7170_timestamp_start,7170_timestamp_end,7170_valence,7170_arousal,7175_index,7175_timestamp_start,7175_timestamp_end,7175_valence,7175_arousal,7950_index,7950_timestamp_start,7950_timestamp_end,7950_valence,7950_arousal,2683_index,2683_timestamp_start,2683_timestamp_end,2683_valence,2683_arousal,2811_index,2811_timestamp_start,2811_timestamp_end,2811_valence,2811_arousal,3010_index,3010_timestamp_start,3010_timestamp_end,3010_valence,3010_arousal,3016_index,3016_timestamp_start,3016_timestamp_end,3016_valence,3016_arousal,3017_index,3017_timestamp_start,3017_timestamp_end,3017_valence,3017_arousal,3030_index,3030_timestamp_start,3030_timestamp_end,3030_valence,3030_arousal,3500_index,3500_timestamp_start,3500_timestamp_end,3500_valence,3500_arousal,3530_index,3530_timestamp_start,3530_timestamp_end,3530_valence,3530_arousal,6210_index,6210_timestamp_start,6210_timestamp_end,6210_valence,6210_arousal,6230_index,6230_timestamp_start,6230_timestamp_end,6230_valence,6230_arousal,6231_index,6231_timestamp_start,6231_timestamp_end,6231_valence,6231_arousal,6250_index,6250_timestamp_start,6250_timestamp_end,6250_valence,6250_arousal,6260_index,6260_timestamp_start,6260_timestamp_end,6260_valence,6260_arousal,6263_index,6263_timestamp_start,6263_timestamp_end,6263_valence,6263_arousal,6300_index,6300_timestamp_start,6300_timestamp_end,6300_valence,6300_arousal,6313_index,6313_timestamp_start,6313_timestamp_end,6313_valence,6313_arousal,6315_index,6315_timestamp_start,6315_timestamp_end,6315_valence,6315_arousal,6350_index,6350_timestamp_start,6350_timestamp_end,6350_valence,6350_arousal,6370_index,6370_timestamp_start,6370_timestamp_end,6370_valence,6370_arousal,6510_index,6510_timestamp_start,6510_timestamp_end,6510_valence,6510_arousal,6530_index,6530_timestamp_start,6530_timestamp_end,6530_valence,6530_arousal,6540_index,6540_timestamp_start,6540_timestamp_end,6540_valence,6540_arousal,6560_index,6560_timestamp_start,6560_timestamp_end,6560_valence,6560_arousal,6563_index,6563_timestamp_start,6563_timestamp_end,6563_valence,6563_arousal,6570_index,6570_timestamp_start,6570_timestamp_end,6570_valence,6570_arousal,6571_index,6571_timestamp_start,6571_timestamp_end,6571_valence,6571_arousal,6821_index,6821_timestamp_start,6821_timestamp_end,6821_valence,6821_arousal,6834_index,6834_timestamp_start,6834_timestamp_end,6834_valence,6834_arousal,6836_index,6836_timestamp_start,6836_timestamp_end,6836_valence,6836_arousal,9428_index,9428_timestamp_start,9428_timestamp_end,9428_valence,9428_arousal,Q52.1,Q52.2,Q52.3,Q52.4,Q52.5,Q52.6,Q52.7,Q52.8,Q52.9,Q52.10,Q53.1,Q53.2,Q53.3,Q53.4,Q53.5,Q53.6,Q53.7,Q53.8,Q53.9,Q53.10,Q54.1,Q54.2,Q54.3,Q55.1,Q55.2,Q55.3,Q56.1,Q56.2,Q56.3,Q56.4,Q56.5,Q56.6,Q56.7,Q57.1,Q57.2,Q57.3,Q57.4,Q57.5,Q57.6,Q57.7,Q57.8,Q58.1,Q58.2,Q58.3,Q58.4,Q58.5,Q58.6,Q59,Q60
5/12/2022 10:20,5/12/2022 10:49,DBY01,0,29,5,4,3,0,,Lisboa,2,5,6,5,0,0,14,10:40:21,10:40:26,4,4,18,10:41:15,10:41:20,4,4,1,10:37:04,10:37:09,4,4,2,10:37:22,10:37:27,4,4,24,10:42:38,10:42:43,4,4,15,10:40:37,10:40:42,4,4,0,10:36:45,10:36:50,4,4,29,10:43:44,10:43:49,4,4,25,10:42:54,10:42:59,2,4,23,10:42:24,10:42:29,5,5,17,10:41:01,10:41:06,4,4,8,10:38:51,10:38:56,6,1,10,10:39:26,10:39:31,2,6,7,10:38:38,10:38:43,3,4,11,10:39:42,10:39:47,4,4,13,10:40:07,10:40:12,2,4,22,10:42:11,10:42:16,6,4,20,10:41:42,10:41:47,5,6,26,10:43:08,10:43:13,4,4,16,10:40:49,10:40:54,4,4,27,10:43:21,10:43:26,4,4,3,10:37:37,10:37:42,5,6,21,10:41:58,10:42:03,5,6,28,10:43:32,10:43:37,4,4,9,10:39:13,10:39:18,4,4,12,10:39:54,10:39:59,3,4,4,10:37:56,10:38:01,4,4,6,10:38:25,10:38:30,3,4,5,10:38:08,10:38:13,2,4,19,10:41:28,10:41:33,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,1,11,11,11,11,5,8,6,11,1,1,2,11,6,11,2,9,1,6,1,6,3,1,6,11,7,9,11,1,5,5,9,9,9,5,3,5,11,8,7,9,11,1,4,11,2,6
5/13/2022 9:22,5/13/2022 10:39,DBY02,0,24,5,1,7,0,,Lisboa,2,6,6,5,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,10:24:23,10:24:28,0,7,25,10:30:28,10:30:33,0,5,24,10:30:11,10:30:16,0,6,21,10:29:24,10:29:29,1,6,22,10:29:40,10:29:45,0,6,13,10:26:55,10:27:00,3,4,2,10:23:47,10:23:52,0,6,17,10:28:15,10:28:20,0,5,14,10:27:25,10:27:30,0,6,15,10:27:42,10:27:47,0,7,0,10:22:59,10:23:04,0,8,8,10:25:27,10:25:32,0,8,28,10:31:15,10:31:20,0,6,9,10:25:42,10:25:47,0,8,11,10:26:17,10:26:22,0,7,20,10:29:07,10:29:12,0,6,16,10:27:58,10:28:03,1,5,18,10:28:35,10:28:40,0,6,5,10:24:38,10:24:43,0,6,29,10:31:31,10:31:36,0,7,26,10:30:43,10:30:48,1,6,23,10:29:56,10:30:01,0,6,19,10:28:50,10:28:55,0,5,1,10:23:27,10:23:32,0,6,7,10:25:11,10:25:16,1,6,6,10:24:53,10:24:58,1,6,3,10:24:05,10:24:10,1,6,27,10:30:58,10:31:03,1,6,12,10:26:33,10:26:38,1,6,10,10:25:56,10:26:01,0,7,10,10,10,10,11,10,11,10,10,10,11,11,11,11,11,10,11,11,11,11,2,1,2,1,1,1,11,11,10,11,2,1,2,10,8,8,3,3,5,10,11,11,11,11,1,1,11,1,10
5/20/2022 12:13,5/20/2022 12:50,DBY03,1,22,4,0,0,0,,Lisboa,2,6,3,1,0,0,2,12:30:14,12:30:19,2,2,9,12:32:38,12:32:43,4,0,11,12:33:04,12:33:09,3,0,28,12:37:03,12:37:08,3,0,22,12:35:42,12:35:47,7,1,25,12:36:22,12:36:27,2,0,1,12:29:54,12:29:59,4,0,13,12:33:36,12:33:41,6,0,24,12:36:08,12:36:13,5,0,19,12:35:02,12:35:07,3,0,8,12:32:25,12:32:30,4,0,23,12:35:56,12:36:01,4,0,16,12:34:18,12:34:23,4,0,4,12:31:03,12:31:08,6,4,26,12:36:35,12:36:40,4,0,10,12:32:51,12:32:56,4,0,29,12:37:15,12:37:20,5,0,0,12:29:28,12:29:33,4,0,14,12:33:51,12:33:56,4,0,12,12:33:23,12:33:28,4,0,3,12:30:46,12:30:51,4,1,18,12:34:43,12:34:48,3,1,15,12:34:04,12:34:09,4,0,21,12:35:30,12:35:35,4,0,17,12:34:30,12:34:35,4,0,27,12:36:49,12:36:54,4,0,20,12:35:17,12:35:22,4,0,7,12:31:52,12:31:57,5,1,6,12:31:35,12:31:40,5,1,5,12:31:21,12:31:26,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,8,7,2,1,2,9,2,6,1,3,2,2,1,1,1,1,1,2,5,5,1,1,10,1,2,1,1,9,8,10,4,1,10,11,6,8,2,5,11,1,8,1,2,8,1,2,0
5/23/2022 15:09,5/23/2022 15:40,DBY04,0,24,5,0,6,0,,Lisboa,2,6,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,15:31:01,15:31:06,0,8,27,15:36:24,15:36:29,0,8,18,15:34:28,15:34:33,0,8,24,15:35:45,15:35:50,0,8,25,15:35:58,15:36:03,0,8,11,15:32:51,15:32:56,0,8,20,15:34:53,15:34:58,0,8,22,15:35:19,15:35:24,0,8,10,15:32:32,15:32:37,0,8,1,15:30:19,15:30:24,0,0,6,15:31:36,15:31:41,0,8,26,15:36:11,15:36:16,0,8,23,15:35:32,15:35:37,0,8,14,15:33:30,15:33:35,0,8,0,15:29:59,15:30:04,0,8,12,15:33:04,15:33:09,0,8,21,15:35:06,15:35:11,0,8,7,15:31:49,15:31:54,0,8,28,15:36:37,15:36:42,0,8,5,15:31:18,15:31:23,0,8,8,15:32:02,15:32:07,0,8,2,15:30:34,15:30:39,0,8,29,15:36:49,15:36:54,0,8,16,15:33:57,15:34:02,0,8,19,15:34:41,15:34:46,0,8,17,15:34:10,15:34:15,0,8,3,15:30:47,15:30:52,0,8,15,15:33:43,15:33:48,0,8,9,15:32:15,15:32:20,0,8,13,15:33:17,15:33:22,0,8,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,1,1,1,1,1,1,11,11,11,11,1,1,1,6,6,6,1,2,6,6,11,11,11,11,1,1,11,2,10
5/23/2022 15:47,5/23/2022 16:22,DBY05,1,19,4,1,4,0,,Lisboa,2,5,4,4,0,0,6,16:11:14,16:11:19,4,0,26,16:15:47,16:15:52,4,0,19,16:14:09,16:14:14,5,0,13,16:12:49,16:12:54,4,0,8,16:11:40,16:11:45,4,0,10,16:12:11,16:12:16,4,0,7,16:11:27,16:11:32,4,0,3,16:10:33,16:10:38,4,0,22,16:14:53,16:14:58,4,0,2,16:10:19,16:10:24,4,0,20,16:14:25,16:14:30,4,0,5,16:11:01,16:11:06,5,0,17,16:13:42,16:13:48,4,0,18,16:13:56,16:14:01,4,0,9,16:11:53,16:11:58,4,0,14,16:13:04,16:13:09,4,0,15,16:13:17,16:13:22,4,0,23,16:15:07,16:15:12,5,0,21,16:14:40,16:14:45,4,0,1,16:10:03,16:10:08,4,0,11,16:12:24,16:12:29,4,0,28,16:16:14,16:16:19,4,0,0,16:09:45,16:09:50,4,0,4,16:10:47,16:10:52,4,0,16,16:13:30,16:13:35,4,0,12,16:12:36,16:12:41,5,0,29,16:16:28,16:16:33,4,0,25,16:15:33,16:15:38,4,0,24,16:15:20,16:15:25,4,0,27,16:16:01,16:16:06,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,3,8,3,11,4,10,3,2,9,4,8,5,3,3,4,7,4,5,9,6,10,9,6,10,2,3,3,10,2,6,2,9,5,10,7,9,8,4,5,5,10,8,1,8,10,2,7
5/24/2022 16:42,5/24/2022 17:18,DBY06,0,23,4,1,4,0,,Lisboa,2,6,6,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,17:02:01,17:02:06,3,3,3,16:58:38,16:58:43,4,2,27,17:06:32,17:06:37,0,5,10,17:01:32,17:01:37,0,6,22,17:05:04,17:05:09,2,5,4,16:58:55,16:59:00,3,3,6,16:59:51,16:59:56,3,2,13,17:02:41,17:02:46,1,6,20,17:04:35,17:04:40,4,3,15,17:03:16,17:03:21,4,3,12,17:02:22,17:02:27,4,3,16,17:03:32,17:03:37,4,3,14,17:02:56,17:03:01,4,3,18,17:04:03,17:04:08,4,3,9,17:01:07,17:01:12,3,5,2,16:58:15,16:58:20,4,3,23,17:05:23,17:05:28,2,5,0,16:57:13,16:57:18,3,5,8,17:00:46,17:00:51,2,5,29,17:07:07,17:07:12,3,4,25,17:05:58,17:06:03,2,4,7,17:00:16,17:00:21,3,3,24,17:05:44,17:05:49,2,5,5,16:59:26,16:59:31,3,2,19,17:04:16,17:04:21,4,3,28,17:06:52,17:06:57,4,2,26,17:06:19,17:06:24,4,4,17,17:03:46,17:03:51,2,5,21,17:04:48,17:04:53,3,3,1,16:57:52,16:57:57,2,6,1,2,8,8,5,2,7,8,8,5,11,7,5,5,3,5,7,9,9,7,8,2,8,1,1,8,7,1,1,11,2,2,2,6,2,2,8,8,8,1,4,2,11,11,2,1,11,3,4
5/25/2022 15:56,5/25/2022 16:36,DBY07,1,21,5,4,6,0,,Lisboa,2,6,4,4,0,0,24,16:28:31,16:28:36,2,0,7,16:23:53,16:23:59,4,0,9,16:24:30,16:24:35,4,0,19,16:27:13,16:27:18,5,1,3,16:22:43,16:22:48,4,1,29,16:29:48,16:29:53,4,0,17,16:26:44,16:26:49,4,0,25,16:28:45,16:28:50,2,1,26,16:28:58,16:29:03,4,0,12,16:25:19,16:25:24,4,1,20,16:27:28,16:27:33,3,0,14,16:25:52,16:25:57,5,1,5,16:23:15,16:23:20,4,1,13,16:25:33,16:25:38,4,1,15,16:26:11,16:26:16,4,1,23,16:28:17,16:28:22,2,0,10,16:24:45,16:24:50,5,0,27,16:29:20,16:29:25,5,2,28,16:29:34,16:29:39,4,0,21,16:27:46,16:27:51,4,1,1,16:22:09,16:22:14,4,1,0,16:21:45,16:21:50,4,1,16,16:26:29,16:26:34,4,1,2,16:22:27,16:22:32,4,1,11,16:25:05,16:25:10,3,0,18,16:26:57,16:27:02,4,1,22,16:28:00,16:28:05,4,1,8,16:24:08,16:24:13,4,0,6,16:23:33,16:23:38,4,0,4,16:22:58,16:23:03,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,11,11,11,11,11,11,11,9,9,4,11,10,9,11,9,9,11,10,9,1,2,2,1,1,1,8,6,8,9,1,1,1,7,2,7,4,3,3,3,5,3,11,9,11,9,11,2,8
5/25/2022 16:41,5/25/2022 17:03,DBY08,0,24,5,1,4,0,,Setúbal,2,6,4,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,16:54:34,16:54:39,1,1,7,16:53:34,16:53:39,0,2,25,16:57:31,16:57:36,0,5,19,16:56:15,16:56:20,0,4,8,16:53:47,16:53:52,0,3,13,16:54:59,16:55:04,0,4,5,16:53:02,16:53:07,0,3,12,16:54:46,16:54:51,0,3,10,16:54:18,16:54:23,1,3,22,16:56:55,16:57:00,1,2,3,16:52:33,16:52:38,0,4,9,16:54:02,16:54:07,0,4,24,16:57:19,16:57:24,1,2,27,16:58:00,16:58:05,1,1,6,16:53:18,16:53:23,1,1,0,16:51:33,16:51:38,0,3,14,16:55:11,16:55:16,2,2,4,16:52:47,16:52:52,0,3,26,16:57:46,16:57:51,2,0,29,16:58:24,16:58:29,1,1,20,16:56:31,16:56:36,1,1,2,16:52:18,16:52:23,0,3,17,16:55:49,16:55:54,2,2,1,16:52:05,16:52:10,0,0,28,16:58:12,16:58:17,1,2,21,16:56:42,16:56:47,1,1,18,16:56:01,16:56:06,1,2,23,16:57:07,16:57:12,1,2,15,16:55:24,16:55:29,2,1,16,16:55:38,16:55:43,0,3,7,6,6,7,11,11,10,9,9,6,6,6,6,6,6,6,6,6,6,6,4,6,2,3,3,3,6,6,5,6,2,2,1,3,3,3,4,4,2,2,4,2,3,3,2,5,3,2,7
5/25/2022 17:05,5/25/2022 17:30,DBY09,0,22,5,0,6,0,,Setúbal,2,6,6,5,0,0,8,17:18:37,17:18:42,4,5,13,17:19:52,17:19:57,5,5,10,17:19:09,17:19:14,5,3,23,17:22:11,17:22:16,4,5,0,17:15:52,17:15:57,4,2,28,17:23:21,17:23:26,5,3,3,17:17:06,17:17:11,4,4,16,17:20:32,17:20:37,5,6,25,17:22:38,17:22:43,5,7,12,17:19:36,17:19:41,5,6,2,17:16:49,17:16:54,7,1,6,17:18:07,17:18:12,8,1,26,17:22:52,17:22:57,6,6,19,17:21:15,17:21:20,1,7,15,17:20:19,17:20:24,4,4,24,17:22:25,17:22:30,2,6,5,17:17:47,17:17:52,4,3,22,17:21:59,17:22:04,6,7,27,17:23:07,17:23:12,3,6,17,17:20:46,17:20:51,7,2,18,17:21:01,17:21:06,2,6,1,17:16:29,17:16:34,6,2,11,17:19:22,17:19:27,3,5,4,17:17:27,17:17:32,3,4,20,17:21:31,17:21:36,5,5,29,17:23:34,17:23:39,5,7,9,17:18:56,17:19:01,5,3,7,17:18:22,17:18:27,6,0,21,17:21:45,17:21:50,6,3,14,17:20:06,17:20:11,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,11,9,11,11,9,11,11,11,11,5,11,11,11,11,9,11,11,11,11,1,1,9,2,1,9,6,4,3,11,1,2,1,3,1,2,7,9,2,9,9,8,11,11,10,8,11,2,7
5/26/2022 8:40,5/26/2022 10:10,DBY10,0,21,5,0,7,0,,Lisboa,2,6,6,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,9:55:32,9:55:37,1,7,3,9:51:19,9:51:24,0,8,23,9:58:31,9:58:36,0,8,11,9:53:59,9:54:04,0,8,26,9:59:28,9:59:33,0,8,16,9:55:53,9:55:58,0,8,1,9:50:24,9:50:29,1,7,18,9:56:41,9:56:46,0,8,2,9:50:44,9:50:49,1,6,10,9:53:39,9:53:44,0,8,29,10:00:48,10:00:53,0,7,19,9:56:59,9:57:04,0,7,21,9:57:41,9:57:46,1,7,9,9:53:22,9:53:27,0,8,14,9:55:07,9:55:12,2,7,27,9:59:46,9:59:51,2,5,20,9:57:15,9:57:20,1,7,0,9:49:53,9:49:58,2,6,6,9:52:13,9:52:18,0,7,12,9:54:13,9:54:18,3,5,4,9:51:36,9:51:41,1,7,24,9:58:48,9:58:53,0,8,8,9:53:01,9:53:06,0,8,28,10:00:22,10:00:27,1,7,17,9:56:08,9:56:13,2,5,25,9:59:04,9:59:09,3,5,22,9:58:07,9:58:12,3,4,7,9:52:37,9:52:42,1,6,13,9:54:40,9:54:45,4,4,5,9:51:57,9:52:02,0,8,8,11,10,9,11,11,11,7,9,9,10,11,11,9,9,10,11,8,11,7,1,1,3,5,2,8,7,6,7,11,1,1,1,2,1,4,3,4,1,3,2,11,10,7,8,6,9,1,10
5/26/2022 10:17,5/26/2022 10:45,DBY11,0,23,5,0,7,1,Americana,Lisboa,2,5,4,6,0,0,14,10:35:30,10:35:35,6,1,28,10:38:34,10:38:39,7,2,7,10:33:50,10:33:55,6,2,26,10:38:07,10:38:12,4,0,19,10:36:39,10:36:44,4,0,22,10:37:15,10:37:20,4,0,20,10:36:51,10:36:56,4,4,6,10:33:37,10:33:42,4,0,18,10:36:26,10:36:31,4,2,0,10:31:55,10:32:00,4,1,16,10:35:59,10:36:04,4,0,12,10:35:03,10:35:08,5,0,21,10:37:03,10:37:08,4,1,2,10:32:34,10:32:39,3,2,4,10:33:11,10:33:16,4,0,10,10:34:35,10:34:40,4,0,23,10:37:28,10:37:33,4,0,1,10:32:19,10:32:24,4,4,25,10:37:53,10:37:58,5,1,27,10:38:20,10:38:25,5,1,29,10:38:49,10:38:54,4,0,17,10:36:13,10:36:18,4,0,3,10:32:56,10:33:01,4,1,15,10:35:47,10:35:52,4,0,13,10:35:17,10:35:22,5,1,8,10:34:10,10:34:15,4,0,5,10:33:24,10:33:29,4,0,24,10:37:41,10:37:46,4,2,9,10:34:23,10:34:28,4,0,11,10:34:48,10:34:53,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,10,8,4,10,1,3,4,9,9,11,9,3,2,10,2,2,2,9,6,1,2,7,1,1,2,7,7,4,7,1,2,1,1,1,9,2,3,3,5,11,9,8,9,1,2,11,1,8
